Rank,City,Population
231 TIE,Dike and Buffalo,"1,272"
232,Roland,"1,254"
233,Alton,"1,248"
234,Melcher-Dallas,"1,244"
235,Coon Rapids,"1,232"
236,Strawberry Point,"1,218"
237,Elkader,"1,217"
238,Mapleton,"1,157"
239,Gilbert,"1,147"
240,Elk Run Heights,"1,144"
241,Villisca,"1,142"
242,Jewell Junction,"1,139"
243,Springville,"1,137"
244,Fairbank,"1,133"
245,Baxter,"1,132"
246,Mechanicsville,"1,129"
247,Lake Park,"1,123"
248 TIE,Laurens and St. Ansgar,"1,120"
249,Malvern,"1,115"
250 TIE,Sheffield and Glidden,"1,106"
251,Winfield,"1,088"
252,Lake View,"1,084"
253,Conrad,"1,077"
254,Panora,"1,067"
255,Palo,"1,066"
256,Greene,"1,063"
257,Hamburg,"1,060"
258,Marcus,"1,054"
259,Aplington,"1,050"
260,Sidney,"1,047"
261,George,"1,042"
262,Beaverdale,"1,032"
263,University Heights,"1,026"
264,De Soto,"1,025"
265,Riverside,"1,022"
266,Eddyville,"1,008"
267,North English,"1,007"
268,Rockwell,990
269,Tabor,989
270,Sloan,987
271,Janesville,986
272,Fruitland,982
273,Lawton,980
274,Paullina,977
275,Clarence,975
276 TIE,Dunlap and Allison,973
277,Shellsburg,972
278,Keota,971
279,Treynor,965
280,Preston,959
281,Aurelia,958
282,Underwood,956
283 TIE,Swisher and Gowrie,953
284,Hinton,948
285,Princeton,946
286,Griswold,944
287 TIE,Odebolt and Wayland,943
288,Lansing,935
289,West Point,930
290,Fredericksburg,923
291,Elkhart,918
292,Calmar,917
293,Eldon,915
294,Le Grand,914
295,Keosauqua,908
296,Maxwell,903
297,Anita,900
298,Danville,899
299 TIE,Larchwood and Neola,891
300,Long Grove,872
301,Victor,868
302,Lake Panorama,864
303,Edgewood,861
304 TIE,Newhall and Gladbrook,858
305,Schleswig,857
306,Primghar,856
307,Buffalo Center,855
308,Donnellson,854
309,Newell,852
310 TIE,"Inwood, Dunkerton, and Winthrop",849
311,Readlyn,846
312,Armstrong,840
313,McGregor,838
314,Hazleton,833
315,Sully,831
316,Dakota City,825
317,Rockford,822
318,Colo,820
319,Redfield,816
320,Afton,815
321,Carson,809
322,Correctionville,806
323,Hills,804
324,Hubbard,801
325 TIE,Morning Sun and Cambridge,796
326,Graettinger,795
327,Melbourne,794
328,Raymond,793
329 TIE,Okoboji and Oxford,792
330,Walker,789
331 TIE,Montrose and Ossian,778
332,Hartford,777
333,Dayton,775
334 TIE,Lowden and Grand Junction,773
335,Earlville,772
336 TIE,"Wall Lake, Walnut, and Exira",769
337,Riceville,764
338,Milo,761
339,Hedrick,754
340,Middle Amana,752
341,West Bend,748
342,Manilla,746
343,Sioux Rapids,744
344,Essex,739
345,Alden,738
346,Merrill,731
347,Gilbertville,728
348,Garnavillo,724
349 TIE,"Whiting, Schaller, and Wheatland",723
350,Fremont,721
351 TIE,Ventura and Adair,713
352,Murray,702
353,Seymour,701
354 TIE,Stratford and Alburnett,699
355 TIE,Hospers and Bancroft,696
356,Battle Creek,693
357,Lakeside,689
358 TIE,Olin and Wellsburg,687
359,Ruthven,682
360,Boyden,679
361,Coggon,667
362,Albert City,665
363,Blairstown,659
364,Stanwood,658
365 TIE,Washburn and Van Horne,656
366,Shueyville,655
367 TIE,Agency and Stanton,643
368,Brighton,640
369,Moravia,636
370,Elgin,634
371,What Cheer,624
372 TIE,Fontanelle and Farmington,622
373,St. Charles,619
374,Crescent,616
375,Pomeroy,613
376 TIE,Keystone and Shelby,612
377,Elk Horn,610
378,Dumont,602
379,Doon,601
380,Ireton,599
381,Minden,598
382,Hopkinton,597
383,Sutherland,596
384,Kanawha,595
385,Coalville,594
386 TIE,Grand Mound and Goldfield,593
387,Kellogg,588
388,Orleans,587
389,Dexter,585
390,Clermont,583
391,Ainsworth,579
392,Moulton,578
393,Fonda,575
394,Richland,574
395,Quasqueton,564
396,Anthon,561
397,Sabula,554
398,Everly,550
399,Batavia,549
400,Russell,536
401 TIE,Badger and Rolfe,532
402,Norway,528
403,Elma,527
404,Grandview,526
405 TIE,Radcliffe and Scranton,524
406,Arcadia,520
407,Zearing,518
408 TIE,Early and Wyoming,515
409,Lovilia,509
410 TIE,"Otho, Swea City, and Allerton",507
411 TIE,Dows and Runnells,504
412,New Albin,499
413,Burt,498
414,Dow City,497
415,Garwin,493
416 TIE,New Virginia and Truro,491
417,Albion,490
418,Ellsworth,489
419 TIE,New Hartford and Maynard,488
420,Beacon,487
421 TIE,Humeston and Gilman,484
422 TIE,Delmar and Oxford Junction,483
423,Charter Oak,478
424 TIE,Whittemore and Breda,476
425,Lime Springs,474
426,Latimer,470
427 TIE,"Delhi, Gilmore City, University Park, and Thompson",469
428,Collins,467
429 TIE,Stacyville and Klemme,463
430,Martensdale,461
431,Ocheyedan,459
432,Lamont,457
433,Alleman,452
434,Bayard,451
435,Emerson,449
